Record ID,Date,INA,White,Asian,Black or African American,American Indian or Alaskan Native,Native Hawaiian or Other Pacific Islander
08012011,08/01/2011,3108,42910,478,14546,400,622
07012011,07/01/2011,3376,46437,556,15386,454,612
09012011,09/01/2011,2693,37447,415,11993,348,585
02012012,02/01/2012,2958,49351,383,10171,447,655
10012011,10/01/2011,2537,35216,404,11331,323,543
11012011,11/01/2011,2866,41685,433,12349,425,578
12012011,12/01/2011,2913,43011,398,10526,438,639
01012012,01/01/2012,3207,51999,465,11051,532,727
03012012,03/01/2012,2667,41707,363,9879,417,612
06012012,06/01/2012,3532,34609,386,10733,344,556
07012012,07/01/2012,3696,36887,517,11979,365,546
05012012,05/01/2012,3550,33072,312,9648,313,542
04012012,04/01/2012,2355,34786,336,9566,341,558
08012012,08/01/2012,3264,33287,415,11019,370,525
09012012,09/01/2012,3789,31823,433,10016,355,512
10012012,10/01/2012,2268,28671,366,9112,321,463
11012012,11/01/2012,2170,26594,280,7856,296,437
12012012,12/01/2012,2897,37995,415,10359,421,580
01012013,01/01/2013,3648,49457,425,11091,451,670
02012013,02/01/2013,2946,43189,384,9705,410,569
04012013,04/01/2013,2942,31335,341,8508,311,526
05012013,05/01/2013,6972,25063,261,7152,245,441
06012013,06/01/2013,10506,26158,272,7729,285,429
07012013,07/01/2013,13053,25596,319,7546,277,438
08012013,08/01/2013,13724,23751,261,6410,255,418
09012013,09/01/2013,12924,19895,256,4931,214,398
10012013,10/01/2013,12550,18760,206,4540,215,358
11012013,11/01/2013,13765,21227,206,4772,251,373
12012013,12/01/2013,14531,25990,233,4911,267,509
01012014,01/01/2014,19012,34000,260,6007,326,565
02012014,02/01/2014,19822,34028,272,5553,326,527
03012014,03/01/2014,16126,25455,251,4986,239,434
04012014,04/01/2014,12823,19313,200,4229,182,350
05012014,05/01/2014,12333,17680,201,4441,176,380
06012014,06/01/2014,10508,21029,213,6191,210,647
07012014,07/01/2014,8915,22121,235,7385,206,836
08012014,08/01/2014,6242,20778,230,7380,236,947
09012014,09/01/2014,4830,19087,193,6764,217,884
10012014,10/01/2014,3652,18701,182,6872,236,962
11012014,11/01/2014,3651,20497,197,6657,182,1073
12012014,12/01/2014,4213,23800,181,6406,216,1183
01012015,01/01/2015,6103,34277,251,7204,284,1348
02012015,02/01/2015,5610,32297,230,7041,285,1355
03012015,03/01/2015,3614,27954,211,6591,218,1187
04012015,04/01/2015,2300,20220,200,6129,203,969
05012015,05/01/2015,2069,18521,180,5796,177,985
06012015,06/01/2015,2871,21355,201,7076,198,1149
07012015,07/01/2015,2878,21539,209,7725,230,1258
08012015,08/01/2015,2581,20762,189,7752,230,1182
09012015,09/01/2015,1849,17034,206,6176,184,963
10012015,10/01/2015,1739,15943,178,5595,176,950
11012015,11/01/2015,1817,17319,194,5542,197,978
01012016,01/01/2016,3481,29409,217,6926,284,1410
02012016,02/01/2016,2861,30574,205,6646,267,1422
03012016,03/01/2016,2056,22289,181,5738,175,1125
04012016,04/01/2016,1402,14699,153,4883,139,932
05012016,05/01/2016,2810,13851,128,5006,136,938
06012016,06/01/2016,1821,16057,113,6131,168,1114
08012016,08/01/2016,2055,20122,173,7644,193,1357
09012016,09/01/2016,1560,15971,170,5933,163,1092
12012016,12/01/2016,2299,19668,278,5718,168,710
01012017,01/01/2017,3287,26362,392,6461,226,704
02012017,02/01/2017,3761,23973,314,5913,194,503
03012017,03/01/2017,3158,19899,271,6207,168,412
04012017,04/01/2017,2562,15719,215,5196,147,255
05012017,05/01/2017,2632,14930,209,5262,143,265
06012017,06/01/2017,3188,17337,217,6459,178,307
07012017,07/01/2017,4322,19189,267,7512,176,375
08012017,08/01/2017,3395,17193,216,6994,171,316
09012017,09/01/2017,2513,12939,166,4821,123,183
10012017,10/01/2017,3963,14759,177,5846,148,239
11012017,11/01/2017,3869,15182,183,5265,147,212
12012017,12/01/2017,3078,17362,182,5287,179,222
01012018,01/01/2018,4038,26119,210,6097,237,283
02012018,02/01/2018,3716,23207,169,5461,224,225
03012018,03/01/2018,3161,17549,147,5015,173,186
04012018,04/01/2018,2636,14149,133,4636,148,126
05012018,05/01/2018,3822,14110,159,5153,157,169
06012018,06/01/2018,3013,15008,174,5854,153,204
07012018,07/01/2018,3452,16389,209,6700,163,210
08012018,08/01/2018,2642,13087,199,5237,135,134
09012018,09/01/2018,2388,10951,141,4419,129,100
10012018,10/01/2018,2389,10994,131,4479,120,116
11012018,11/01/2018,2461,12102,127,4015,128,132
12012018,12/01/2018,3072,14935,141,4348,161,157
01012019,01/01/2019,3976,20752,221,5531,214,200
07012019,07/01/2019,3295,14769,248,6206,149,178
07012019,07/01/2019,3295,14769,248,6206,149,178
08012019,08/01/2019,2387,11696,193,4481,119,136
11012019,11/01/2019,2384,12000,136,3750,117,104
12012019,12/01/2019,2531,13536,141,3680,119,103
01012020,01/01/2020,3918,20186,156,5097,176,141
02012020,02/01/2020,3274,19539,149,4187,188,136
03012020,03/01/2020,2761,15115,125,3979,151,112
04012020,04/01/2020,37489,181777,4471,35576,1298,1034
05012020,05/01/2020,36740,170834,4849,44449,1275,1131
